Company Name,Last Price,% Change,52 wk High,52 wk Low,Market Cap (Rs. cr)
Reliance,2314.95,-0.68,2855,2180,1566026.28
TCS,3330.1,-0.84,3680,3070.3,1218884.9
HDFC Bank,1488.85,-0.75,1757.8,1460.55,1133014.35
ICICI Bank,934.65,-0.8,1008.7,796.1,654515.05
HUL,2475.45,-0.64,2768.5,2393,583356.52
Infosys,1373.9,-1.02,1672.45,1215.45,571509.59
ITC,435.8,-0.62,499.6,325.35,543193.99
Bharti Airtel,934.3,-0.41,961.35,736.2,535073.99
SBI,581,-0.03,629.65,499.35,516735.03
Bajaj Finance,7365,-1.25,8190,5487.25,455053.48
Larsen,3043,-0.31,3114,1978.35,427452.05
LIC India,606,-0.26,754.4,530.2,382630.74
Kotak Mahindra,1748.35,-0.22,2063,1644.2,347301.3
HCL Tech,1259.25,-0.06,1311,1011.6,340293.6
Axis Bank,1024.6,-0.49,1047.45,814.25,317002.31
Maruti Suzuki,10395.8,-0.34,10846.1,8076.65,313803.79
Asian Paints,3080,-0.57,3566.9,2686.15,295092.4
Titan Company,3261.25,-0.55,3351.55,2268.9,289329.51
Sun Pharma,1176,-0.4,1187.45,922.55,281993.84
Bajaj Finserv,1586.95,-0.42,1735.25,1216.1,252771.85
Adani Enterprises,2217,0.16,4189.55,1017.1,252310.75
UltraTech Cement,8661.55,-0.6,8750,6605.45,250057.51
ONGC,195.85,-0.48,199.7,132.95,246070.26
Avenue Supermart,3785.55,-0.45,4225,3292.65,244262.42
NTPC,245.5,0.39,251.5,161.2,239798.55
Nestle,24096.35,-0.79,24735.5,17888,232208.57
Tata Motors,653.6,0,677.9,375.5,216965.67
Coal India,349.6,5.4,350.1,207.7,214493.76
Wipro,382,-0.16,443.6,351.85,198890.29
Power Grid Corp,212.7,0.38,215.1,153.34,198567.89
M&M,1541,0.94,1670,1124,191254.73
JSW Steel,760.75,0.53,840,649.75,185133.09
Adani Ports,810,-0.31,916,394.95,174798.44
LTI Mindtree,5263,-0.05,5590,4120,155234.45
Bajaj Auto,5420,-0.15,5514.65,3522,153246.88
Adani Power,389.6,-2.58,410,132.55,151731.98
